ISO3,urban_percentage
ABW,43.546
AFG,25.754
AGO,66.177
ALB,61.229
AND,87.984
ARB,59.20164687
ARE,86.789
ARG,91.991
ARM,63.219
ASM,87.147
ATG,24.506
AUS,86.124
AUT,58.515
AZE,56.031
BDI,13.366
BEL,98.041
BEN,47.861
BFA,29.98
BGD,37.405
BGR,75.347
BHR,89.394
BHS,83.132
BIH,48.626
BLR,79.044
BLZ,45.866
BMU,100
BOL,69.773
BRA,86.824
BRB,31.158
BRN,77.942
BTN,41.612
BWA,70.172
CAF,41.77
CAN,81.482
CEB,62.438582
CHE,73.849
CHI,30.931
CHL,87.643
CHN,60.308
CIV,51.239
CMR,56.968
COD,45.046
COG,67.373
COL,81.104
COM,29.164
CPV,66.195
CRI,80.076
CSS,51.36999058
CUB,77.109
CUW,89.098
CYM,100
CYP,66.805
CZE,73.921
DEU,77.376
DJI,77.915
DMA,70.786
DNK,87.994
DOM,81.828
DZA,73.189
EAP,56.57000362
EAR,45.54080566
EAS,59.88726026
ECA,67.81762522
ECS,72.40935588
ECU,63.986
EGY,42.73
EMU,77.21916388
ERI,
ESP,80.565
EST,69.051
ETH,21.225
EUU,74.73055441
FCS,44.95006857
FIN,85.446
FJI,56.75
FRA,80.709
FRO,42.225
FSM,22.812
GAB,89.741
GBR,83.652
GEO,59.039
GHA,56.707
GIB,100
GIN,36.5
GMB,61.931
GNB,43.777
GNQ,72.627
GRC,79.388
GRD,36.396
GRL,87.052
GTM,51.439
GUM,94.859
GUY,26.689
HIC,81.0477557
HKG,100
HND,57.73
HPC,36.48128141
HRV,57.242
HTI,56.192
HUN,71.644
IBD,55.61614168
IBT,50.94866971
IDA,37.47898029
IDB,42.70718233
IDN,55.985
IDX,34.82755142
IMN,52.735
IND,34.472
INX,
IRL,63.405
IRN,75.391
IRQ,70.678
ISL,93.855
ISR,92.501
ITA,70.736
JAM,55.985
JOR,91.203
JPN,91.698
KAZ,57.54
KEN,27.507
KGZ,36.591
KHM,23.805
KIR,54.835
KNA,30.799
KOR,81.43
KWT,100
LAC,80.69911798
LAO,35.645
LBN,88.758
LBR,51.615
LBY,80.393
LCA,18.754
LCN,80.87055803
LDC,34.10135081
LIC,33.31826617
LIE,14.371
LKA,18.585
LMC,39.68586705
LMY,50.84973233
LSO,28.585
LTE,63.29322773
LTU,67.855
LUX,91.223
LVA,68.222
MAC,100
MAF,
MAR,62.994
MCO,100
MDA,42.726
MDG,37.861
MDV,40.238
MEA,65.6787454
MEX,80.444
MHL,77.417
MIC,52.88166197
MKD,58.208
MLI,43.136
MLT,94.678
MMR,30.852
MNA,61.90340037
MNE,67.15
MNG,68.543
MNP,91.708
MOZ,36.528
MRT,54.507
MUS,40.766
MWI,17.174
MYS,76.607
NAC,82.36168943
NAM,51.042
NCL,71.104
NER,16.517
NGA,51.157
NIC,58.76
NLD,91.876
NOR,82.616
NPL,20.153
NRU,100
NZL,86.615
OED,80.80502019
OMN,85.443
OSS,62.59724425
PAK,36.907
PAN,68.059
PER,78.099
PHL,47.149
PLW,80.47
PNG,13.25
POL,60.037
PRE,41.77645394
PRI,93.576
PRK,62.134
PRT,65.764
PRY,61.879
PSE,76.44
PSS,39.03839067
PST,81.46615246
PYF,61.897
QAT,99.188
ROU,54.084
RUS,74.587
RWA,17.313
SAS,34.43189736
SAU,84.065
SDN,34.936
SEN,47.653
SGP,100
SLB,24.21
SLE,42.484
SLV,72.746
SMR,97.368
SOM,45.554
SRB,56.26
SSA,40.71126911
SSD,19.899
SSF,40.71277872
SST,59.15908639
STP,73.598
SUR,66.095
SVK,53.729
SVN,54.822
SWE,87.708
SWZ,23.981
SXM,100
SYC,57.119
SYR,54.821
TCA,93.36
TCD,23.279
TEA,56.50060225
TEC,66.50093744
TGO,42.248
THA,50.692
TJK,27.309
TKM,52.048
TLA,80.8943497
TLS,30.947
TMN,61.72639047
TON,23.107
TSA,34.43189736
TSS,40.71277872
TTO,53.187
TUN,69.254
TUR,75.63
TUV,63.215
TZA,34.5
UGA,24.361
UKR,69.473
UMC,66.35170688
URY,95.426
USA,82.459
UZB,50.433
VCT,52.614
VEN,88.24
VGB,48.116
VIR,95.832
VNM,36.628
VUT,25.394
WLD,55.71471764
WSM,18.056
XKX,
YEM,37.273
ZAF,66.856
ZMB,44.072
ZWE,32.21
